idx,flight_id,start,end,fuel_kg,flight_date,aircraft_type,takeoff,landed,origin_icao,origin_name,destination_icao,destination_name,ICAO_TYPE_CODE,aircraft,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_type,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_mount,engine_number,engine_default,engine_options_A320-271N,engine_options_A320-272N,engine_options_A320-273N,engine_options_A320-251N,engine_options_A320-252N,engine_options_A320-253N,drag_cd0,drag_k,drag_e,drag_gears,fuel_aircraft,fuel_engine,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A321-271N,engine_options_A321-272N,engine_options_A321-251N,engine_options_A321-252N,engine_options_A321-253N,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A319-111,engine_options_A319-112,engine_options_A319-113,engine_options_A319-114,engine_options_A319-115,engine_options_A319-131,engine_options_A319-132,engine_options_A319-133,engine_options_A320-111,engine_options_A320-211,engine_options_A320-212,engine_options_A320-214,engine_options_A320-215,engine_options_A320-216,engine_options_A320-231,engine_options_A320-232,engine_options_A320-233,engine_options_A321-111,engine_options_A321-112,engine_options_A321-131,engine_options_A321-211,engine_options_A321-212,engine_options_A321-213,engine_options_A321-231,engine_options_A321-232,engine_options_A330-201,engine_options_A330-202,engine_options_A330-203,engine_options_A330-223,engine_options_A330-223F,engine_options_A330-243,engine_options_A330-301,engine_options_A330-302,engine_options_A330-303,engine_options_A330-321,engine_options_A330-322,engine_options_A330-323,engine_options_A330-341,engine_options_A330-342,engine_options_A330-343,engine_options_A350-941,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,engine_options,clean_cd0,clean_k,clean_e,clean_gears,eng_turbofan,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction,dominant_phase
75805,prc784794975,2025-06-08 08:16:09.309,2025-06-08 08:21:09.325,200.0,2025-06-08,A320,2025-06-08 04:19:05,2025-06-08 08:59:22,SKBO,Bogota El Dorado International Airport,KIAD,Washington Dulles International Airport,A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.1088799999999998,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,300.016,73.1824649342802,3356.287535250733,475.40588926939796,0.0,0.0,1.0,0.0,0.0,Cruise
80057,prc785906319,2025-06-12 16:33:36.883,2025-06-12 16:38:39.739,145.0,2025-06-12,A319,2025-06-12 12:17:44,2025-06-12 17:46:32,SKBO,Bogota El Dorado International Airport,KJFK,New York John F. Kennedy International Airport,A319,Airbus A319,75500.0,62500.0,40800.0,30190.0,350.0,0.82,12500.0,156.0,110.0,140.0,33.84,4.14,3.95,124.0,35.8,4.1935,25.0,0.1093599999999997,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,3300.0,wing,2.0,V2524-A5,,,,,,,0.02,0.039,0.783,0.017,,V2524-A5,2.33357287,75500.0,62500.0,40800.0,30190.0,350.0,0.82,12500.0,,,,,,,,,,CFM56-5B5,CFM56-5B6,CFM56-5A4,CFM56-5A5,CFM56-5B7,V2522-A5,V2524-A5,V2527M-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,302.856,68.66331918707104,3417.443248203428,654.8265026138691,0.0,0.0,1.0,0.0,0.0,Cruise
4118,prc771373064,2025-04-15 03:32:52.011,2025-04-15 03:48:06.457,408.23280000000005,2025-04-15,A320,2025-04-15 01:30:47,2025-04-15 04:18:46,KMIA,Miami International Airport,KBOS,Boston Logan International Airport,A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.1088799999999998,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,914.446,222.80538408918406,1752.8915356964567,296.8583429862503,0.0,0.0,0.3226890756302521,0.6773109243697479,0.0,Descent
52259,prc779541908,2025-05-18 10:38:00.871,2025-05-18 10:48:01.394,1100.0,2025-05-18,A359,2025-05-18 07:16:11,2025-05-18 17:42:35,KLAX,Los Angeles International Airport,NFFN,Nadi International Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.9,0.15,0.15,11000.0,0.85,15000.0,wing,2.0,Trent XWB-84,,,,,,,0.022,0.043,0.783,0.013,,,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent XWB-84,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,600.523,140.9732860213345,3086.4361275390365,5806.331464308127,0.0,0.0,1.0,0.0,0.0,Cruise
81582,prc786375879,2025-06-14 07:02:52.513,2025-06-14 07:07:52.669,57.606184,2025-06-14,A20N,2025-06-14 06:10:34,2025-06-14 12:04:29,KJFK,New York John F. Kennedy International Airport,SEGU,Guayaquil International Airport,A20N,Airbus A320neo,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,194.0,150.0,180.0,37.57,4.14,3.95,124.0,35.8,4.29,25.0,0.1091999999999997,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,6300.0,wing,2.0,PW1127G-JM,PW1127G-JM,PW1124G1-JM,PW1129G-JM,LEAP-1A26,LEAP-1A24,LEAP-1A29,0.017,0.038,0.807,0.017,Airbus A320,CFM56-5B4/P,2.65942225,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,300.156,68.957608707961,661.9083482310359,4168.160360335524,0.0,0.0,1.0,0.0,0.0,Cruise
97338,prc791181260,2025-07-03 04:15:58.468,2025-07-03 04:20:59.199,100.0,2025-07-03,A320,2025-07-03 00:59:31,2025-07-03 04:45:49,MMMM,Morelia International Airport,KOAK,Oakland International Airport,A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.1088799999999998,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,300.731,66.62803176640367,2624.8671566975163,228.42628620286484,0.0,0.0,0.12133891213389121,0.8786610878661087,0.0,Descent
78856,prc785534068,2025-06-11 14:25:30.264,2025-06-11 14:29:30.909,338.833224,2025-06-11,A359,2025-06-11 03:34:30,2025-06-11 17:02:40,ZSWZ,Wenzhou Longwan International Airport,LEMD,Madrid Barajas Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.9,0.15,0.15,11000.0,0.85,15000.0,wing,2.0,Trent XWB-84,,,,,,,0.022,0.043,0.783,0.013,,,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent XWB-84,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,240.645,60.49945503508064,9045.742412551579,1545.7850386876687,0.0,0.0,1.0,0.0,0.0,Cruise
33898,prc776273122,2025-05-05 11:03:15.117,2025-05-05 11:33:16.486,2540.1152,2025-05-04,A359,2025-05-04 23:46:37,2025-05-05 13:00:14,YSSY,Sydney Kingsford Smith Airport,KLAX,Los Angeles International Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.9,0.15,0.15,11000.0,0.85,15000.0,wing,2.0,Trent XWB-84,,,,,,,0.022,0.043,0.783,0.013,,,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent XWB-84,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,1801.369,475.55383889550853,10656.333088344665,1405.048148879769,0.0,0.0,1.0,0.0,0.0,Cruise
90166,prc788980483,2025-06-24 14:07:58.413,2025-06-24 14:12:57.094,218.0,2025-06-24,A319,2025-06-24 12:53:33,2025-06-24 18:20:58,KORD,Chicago O'Hare International Airport,SKBO,Bogota El Dorado International Airport,A319,Airbus A319,75500.0,62500.0,40800.0,30190.0,350.0,0.82,12500.0,156.0,110.0,140.0,33.84,4.14,3.95,124.0,35.8,4.1935,25.0,0.1093599999999997,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,3300.0,wing,2.0,V2524-A5,,,,,,,0.02,0.039,0.783,0.017,,V2524-A5,2.33357287,75500.0,62500.0,40800.0,30190.0,350.0,0.82,12500.0,,,,,,,,,,CFM56-5B5,CFM56-5B6,CFM56-5A4,CFM56-5A5,CFM56-5B7,V2522-A5,V2524-A5,V2527M-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,298.681,74.85557946950607,1035.3252323628158,3329.7622143139906,0.0,0.2777777777777778,0.7222222222222222,0.0,0.0,Cruise
8350,prc772116771,2025-04-18 02:37:48.026,2025-04-18 02:43:15.409,226.796,2025-04-17,A320,2025-04-17 23:38:54,2025-04-18 02:43:33,KFLL,Fort Lauderdale Hollywood International Airport,KBOS,Boston Logan International Airport,A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.1088799999999998,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,327.383,25.957175421057563,2002.2526531943254,13.259160802628353,0.0,0.0,0.06259780907668232,0.0,0.9374021909233177,Approach
103404,prc792920503,2025-07-10 03:45:57.578,2025-07-10 03:53:35.699,200.0,2025-07-10,A320,2025-07-10 02:30:59,2025-07-10 06:34:47,MSLP,San Salvador International Airport,KIAD,Washington Dulles International Airport,A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.1088799999999998,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,458.121,68.00888490811974,971.0844791117038,2128.458085112466,0.0,0.0,1.0,0.0,0.0,Cruise
120912,prc798317492,2025-07-31 07:27:27.032,2025-07-31 07:31:40.475,127.0,2025-07-31,A320,2025-07-31 03:32:10,2025-07-31 07:54:18,SKCG,Cartagena Rafael Nunez International Airport,KJFK,New York John F. Kennedy International Airport,A320,Airbus A320,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,180.0,140.0,170.0,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,0.1088799999999998,single-slotted,21.1,0.78,0.9,0.176,0.17,11000.0,0.78,5000.0,wing,2.0,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000.0,66000.0,42600.0,24210.0,350.0,0.82,12500.0,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0419999999999999,0.7969999999999984,0.018,1.0,253.443,61.73160819419412,3158.7744097336126,221.85458657424874,0.0,0.0,0.27613412228796846,0.7238658777120316,0.0,Descent
