,count,mean,min,25%,50%,75%,max,std
wing_mac,131530.0,5.008877176879797,4.17,4.1935,4.29,6.01357999999999,9.68,1.1714098567231632
wing_sweep,131530.0,27.29130795255835,25.0,25.0,25.0,31.9,37.5,3.244230616466785
wing_t/c,131530.0,0.10518089895841236,0.08,0.09672,0.1088799999999998,0.1091999999999997,0.115,0.0059877764942971555
flaps_area,131530.0,24.582163058671302,21.099999999996754,21.1,21.1,26.85375000000005,78.7,8.742522406715487
flaps_bf/b,131530.0,0.7480702272581568,0.6,0.7380026646464303,0.78,0.78,0.78,0.05135294555185612
flaps_cf/c,131530.0,0.16597593510986086,0.15,0.15,0.176,0.176,0.198,0.012776759271574215
flaps_Sf/S,131530.0,0.16194075803999083,0.142,0.15,0.17,0.17,0.17,0.009657661527066163
cruise_mach,131530.0,0.8026735597582298,0.78,0.78,0.78,0.85,0.85,0.031043341557491885
cruise_range,131530.0,8549.575017106363,2800.0,5000.0,6300.0,14700.0,15000.0,4275.20864753447
drag_cd0,131530.0,0.018895915114422568,0.016,0.017,0.018,0.022,0.024,0.0021637256140569707
drag_k,131530.0,0.04007412711928838,0.038,0.038,0.039,0.042,0.05,0.002144337144450431
drag_e,131530.0,0.7973500620770927,0.765,0.783,0.799,0.807,0.855,0.012319468611530528
drag_gears,131530.0,0.015807165889902424,0.012,0.014,0.017,0.017,0.019,0.0018084842873991925
fuel_fuel_coef,131530.0,3.0937623297313865,2.03114004,2.65942225,2.65942225,3.086355339673145,6.0218489,0.9004527298300906
limits_MTOW,131530.0,143824.76526647914,68000.0,79000.0,79000.0,230000.0,560000.0,91135.29976321949
limits_MLW,131530.0,111729.10977343572,57500.0,66000.0,66000.0,182000.0,386000.0,63347.711826707186
limits_OEW,131530.0,75180.58910666768,37600.0,42600.0,44300.0,120200.0,277000.0,44383.79493551356
limits_MFC,131530.0,66033.30974454498,24210.0,26000.0,29700.0,139000.0,320000.0,54193.79153246165
limits_VMO,131530.0,359.54387554170154,330.0,340.0,350.0,350.0,515.0,46.54600673897964
limits_MMO,131530.0,0.8433193883524672,0.82,0.82,0.82,0.89,0.92,0.03324226336878212
limits_ceiling,131530.0,12676.585455789555,12500.0,12500.0,12500.0,13100.0,13700.0,280.2711308237717
clean_e,131530.0,0.7969999999999987,0.7969999999999984,0.7969999999999984,0.7969999999999984,0.7969999999999984,0.797,3.3122295317670574e-16
origin_longitude,131530.0,-35.27432803440545,-157.924228,-89.055702,-75.4231,12.232705,177.4429931640625,86.07368446898747
origin_latitude,131530.0,26.564230686682066,-37.661548,15.4526,31.1434,40.639447,61.179004,19.724584946425825
origin_elevation,131530.0,1425.1737626397019,3.0,17.0,120.0,1026.0,8360.0,2478.561291874225
origin_RWY_1_HEADING_a,131515.0,104.67009846785538,1.0,70.0,108.0,136.0,183.0,50.46005629726416
origin_RWY_1_HEADING_b,131515.0,257.6951526441851,0.0,232.0,270.0,314.0,360.0,86.10696250090687
origin_RWY_1_LENGTH,131515.0,3589.606759685207,1919.0,3200.0,3658.0,4000.0,4877.0,536.5732065441221
origin_RWY_2_HEADING_a,131515.0,86.8657415503935,1.0,33.0,83.0,134.0,359.0,54.85173617440692
origin_RWY_2_HEADING_b,131515.0,252.9376573014485,0.0,211.0,250.0,308.0,360.0,72.05739200272515
origin_RWY_2_LENGTH,131515.0,3197.1720336083335,800.0,2987.0,3382.0,3682.0,4500.0,633.7247290304422
origin_RWY_3_HEADING_a,131515.0,98.36414857620804,2.0,58.0,108.0,134.0,183.0,47.82654402939616
origin_RWY_3_HEADING_b,131515.0,265.7136448313881,0.0,235.0,270.0,305.0,360.0,67.84880660925907
origin_RWY_3_LENGTH,131515.0,3231.543405695168,550.0,3000.0,3201.0,3752.0,4850.0,583.3475983450327
origin_RWY_4_HEADING_a,131515.0,96.06982473482113,1.0,51.0,87.0,150.0,183.0,54.26796011782644
origin_RWY_4_HEADING_b,131515.0,248.87602174656882,0.0,213.0,257.0,308.0,360.0,85.90359649088815
origin_RWY_4_LENGTH,131515.0,3143.8029274227274,1029.0,2721.0,3200.0,3535.0,4850.0,654.1575538920707
origin_RWY_5_HEADING_a,131515.0,102.62539634262251,1.0,67.0,108.0,134.0,183.0,50.714616364840545
origin_RWY_5_HEADING_b,131515.0,258.0126373417481,0.0,231.0,269.0,310.0,360.0,83.46762789381833
origin_RWY_5_LENGTH,131515.0,3483.585963578299,1275.0,3200.0,3535.0,4000.0,4850.0,652.5221453566797
origin_RWY_6_HEADING_a,131515.0,101.83177584305973,1.0,64.0,108.0,135.0,183.0,50.61753647326027
origin_RWY_6_HEADING_b,131515.0,261.2593164277839,0.0,231.0,270.0,314.0,360.0,79.33345714690171
origin_RWY_6_LENGTH,131515.0,3451.951222294035,779.0,3200.0,3590.0,4000.0,4850.0,746.5074987786161
origin_RWY_7_HEADING_a,131515.0,104.67009846785538,1.0,70.0,108.0,136.0,183.0,50.46005629726416
origin_RWY_7_HEADING_b,131515.0,257.6951526441851,0.0,232.0,270.0,314.0,360.0,86.10696250090687
origin_RWY_7_LENGTH,131515.0,3546.172276926586,1919.0,3200.0,3600.0,4000.0,4877.0,567.6930021644021
origin_RWY_8_HEADING_a,131515.0,104.67009846785538,1.0,70.0,108.0,136.0,183.0,50.46005629726416
origin_RWY_8_HEADING_b,131515.0,257.6951526441851,0.0,232.0,270.0,314.0,360.0,86.10696250090687
origin_RWY_8_LENGTH,131515.0,3555.9758886818995,1919.0,3200.0,3618.0,4000.0,4877.0,564.0013490885234
destination_longitude,131530.0,-34.1109317825577,-156.766008,-89.055702,-75.4231,4.76389,177.4429931640625,89.12784537073877
destination_latitude,131530.0,23.136100716740145,-37.661548,13.4409,31.1434,40.639447,71.285402,24.271402468744622
destination_elevation,131530.0,1415.6169771154869,3.0,21.0,127.0,778.0,8360.0,2492.6205963160132
destination_RWY_1_HEADING_a,131530.0,103.85190450847715,1.0,70.0,108.0,139.0,183.0,50.347273377621114
destination_RWY_1_HEADING_b,131530.0,255.0294001368509,0.0,231.0,270.0,314.0,359.0,87.34322894352893
destination_RWY_1_LENGTH,131530.0,3605.4065612407817,1737.0,3200.0,3659.0,3967.0,4877.0,518.9217179539751
destination_RWY_2_HEADING_a,131530.0,82.48391241541853,1.0,43.0,76.5,121.0,359.0,50.5294371878893
destination_RWY_2_HEADING_b,131530.0,250.61872576598495,0.0,211.0,250.0,292.0,359.0,65.95690086082021
destination_RWY_2_LENGTH,131530.0,3141.998342583441,800.0,2700.0,3202.0,3659.0,4500.0,632.1534963788231
destination_RWY_3_HEADING_a,131530.0,98.91791226336197,2.0,60.0,108.0,134.0,183.0,46.17620522678841
destination_RWY_3_HEADING_b,131530.0,267.9549000228085,0.0,237.0,271.0,308.0,360.0,64.56631766167237
destination_RWY_3_LENGTH,131530.0,3175.0817988291647,550.0,2961.0,3200.0,3535.0,4850.0,573.1492616475559
destination_RWY_4_HEADING_a,131530.0,96.185554626321,1.0,52.0,89.0,155.0,183.0,53.87884849025859
destination_RWY_4_HEADING_b,131530.0,247.30298030867482,0.0,212.0,263.0,308.0,359.0,86.96610322316134
destination_RWY_4_LENGTH,131530.0,3178.2468790390026,1029.0,2721.0,3201.0,3657.0,4850.0,656.041780592579
destination_RWY_5_HEADING_a,131530.0,101.63731468106135,1.0,64.0,108.0,134.0,183.0,50.81394772734563
destination_RWY_5_HEADING_b,131530.0,254.64040142933172,0.0,227.0,267.0,310.0,359.0,85.3181867894143
destination_RWY_5_LENGTH,131530.0,3497.2547783775562,1524.0,3200.0,3590.0,3962.0,4850.0,620.0239643801465
destination_RWY_6_HEADING_a,131530.0,99.87197597506272,1.0,60.0,108.0,135.0,183.0,50.41775372747947
destination_RWY_6_HEADING_b,131530.0,259.57802022352314,0.0,231.0,269.0,314.0,359.0,78.41355250603924
destination_RWY_6_LENGTH,131530.0,3466.3676727742723,779.0,3200.0,3618.0,3962.0,4850.0,707.8307177697194
destination_RWY_7_HEADING_a,131530.0,103.85190450847715,1.0,70.0,108.0,139.0,183.0,50.347273377621114
destination_RWY_7_HEADING_b,131530.0,255.0294001368509,0.0,231.0,270.0,314.0,359.0,87.34322894352893
destination_RWY_7_LENGTH,131530.0,3555.5640158138826,1737.0,3200.0,3657.0,3962.0,4877.0,558.159684312491
destination_RWY_8_HEADING_a,131530.0,103.85190450847715,1.0,70.0,108.0,139.0,183.0,50.347273377621114
destination_RWY_8_HEADING_b,131530.0,255.0294001368509,0.0,231.0,270.0,314.0,359.0,87.34322894352893
destination_RWY_8_LENGTH,131530.0,3563.1402189614537,1737.0,3200.0,3657.0,3967.0,4877.0,555.1469989783436
arrival_rwy_heading,131530.0,4.356884360982286,0.0,0.0,0.0,0.0,356.0,32.51485501197163
departure_rwy_heading,131530.0,1.9948528852733216,0.0,0.0,0.0,0.0,353.0,22.197487336057225
arrival_rwy_length,131530.0,82.31088725005702,0.0,0.0,0.0,0.0,4877.0,524.7875774379725
departure_rwy_length,131530.0,30.066319470843155,0.0,0.0,0.0,0.0,4877.0,305.76602466022456
starting_altitude,131530.0,32783.53400646915,-10300.0,34000.0,36974.9832,38000.0,80144.0,9857.627696667978
ending_altitude,131530.0,32629.65589840437,-14200.0,33998.0,36973.0,38000.0,131037.0,10114.492057359526
altitude_difference,131530.0,-153.82614952147847,-60118.9448,-8.0,0.0,7.0,120872.0,4643.708849771176
mean_vertical_rate,131530.0,-22.367537389914997,-15306.666666666666,-9.487505554985812,0.0,3.9868340161862434,18013.714285714286,680.053923662852
std_vertical_rate,131530.0,140.8174579294665,0.0,1.1909166841036627,34.22582327238426,91.28351633767411,10203.432786198075,269.89679234484254
mean_track,131530.0,145.198006756781,0.0,30.0037435613433,136.40732766701603,233.6764252560903,359.7846601005873,112.3281430865817
std_track,131530.0,5.065085106046304,0.0,0.074157840812667,0.23076644933299645,1.9582075089691773,185.44880591080383,18.635495162107446
num_trajectory_points,131530.0,438.5002889074736,0.0,2.0,289.0,592.0,7011.0,659.004396942517
points_per_second,131530.0,1.007298497220728,0.0,0.0066777740308045725,1.1891015251854755,1.936865538635102,4.052517997463058,0.876830949124406
segment_duration_s,131530.0,531.9380285562229,1.6099999999999999,296.60299999999995,300.582,600.852,3599.993,559.6822442689391
segment_distance_km,131530.0,146.24256361311822,0.0,61.19696827693113,71.63728743586596,148.7581812480227,33166.64371021376,462.54819112265534
mean_dist_to_origin_km,131530.0,2610.707195128469,0.0,848.5687895073384,1963.7933568500625,3721.93453443984,13480.096070888987,2317.935045109759
mean_dist_to_dest_km,131530.0,2255.7752197914215,0.0,624.6562186354017,1717.8336116084995,3358.653847785932,12946.115605866387,2047.8345697453433
takeoff_fraction,131530.0,0.002462367086963436,0.0,0.0,0.0,0.0,1.0,0.04052277276758258
climb_fraction,131530.0,0.09681632700747621,0.0,0.0,0.0,0.0,1.0,0.28010748436788946
cruise_fraction,131530.0,0.7498529220401032,0.0,0.4958281163049527,1.0,1.0,1.0,0.40561625057636147
descent_fraction,131530.0,0.10721702915748853,0.0,0.0,0.0,0.0,1.0,0.28247940488349516
approach_fraction,131530.0,0.003182425538508321,0.0,0.0,0.0,0.0,1.0,0.02464453487388075
landing_fraction,131530.0,0.012816768539553039,0.0,0.0,0.0,0.0,1.0,0.09796104770692146
taxiing_fraction,131530.0,0.020399062477394557,0.0,0.0,0.0,0.0,1.0,0.14130062624784281
